Date,Stock Price, Option Price, Implied Volatility, Delta, Hedging Error, PNL, PNL with hedge
2011-07-05,532.44,44.2,0.264557,0.722576,0,0,0
2011-07-06,535.36,46.9,0.273632,0.733253,-0.590078,-2.7,-0.590078
2011-07-07,546.6,55.3,0.273395,0.787512,-0.158233,-11.1,-0.748311
2011-07-08,531.99,43.95,0.271265,0.719361,-0.155556,0.25,-0.903867
2011-07-11,527.28,41,0.281972,0.691443,-0.438191,3.2,-1.34206
2011-07-12,534.01,46.4,0.292194,0.722705,-0.74659,-2.2,-2.08865
2011-07-13,538.26,49.3,0.29166,0.745007,0.171495,-5.1,-1.91715
2011-07-14,528.94,41.15,0.275592,0.706868,1.20653,3.05,-0.710619
2011-07-15,597.62,99.65,0.284149,0.940693,-9.95232,-55.45,-10.6629
2011-07-18,594.94,97.65,0.307212,0.926341,-0.521057,-53.45,-11.184
2011-07-19,602.55,103.8,0.271484,0.960156,0.899456,-59.6,-10.2845
2011-07-20,595.35,97.8,0.304466,0.931833,-0.913125,-53.6,-11.1977
2011-07-21,606.99,108.15,0.279129,0.964161,0.496542,-63.95,-10.7011
2011-07-22,618.23,118.7,0.25074,0.985911,0.287173,-74.5,-10.4139
2011-07-25,618.98,119.95,0.301368,0.971417,-0.510567,-75.75,-10.9245
2011-07-26,622.52,123.25,0.292915,0.978417,0.138817,-79.05,-10.7857
2011-07-27,607.22,108.65,0.309638,0.957588,-0.369779,-64.45,-11.1555
2011-07-28,610.94,112.1,0.306205,0.964895,0.112227,-67.9,-11.0433
2011-07-29,603.69,106.8,0.37266,0.924679,-1.69549,-62.6,-12.7387
